Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC,
MG & LS,1,11/09/2024,4,73,Seedling,NA,AC,12.3,0,NA,NA,Dead - brown leaves; re-measurement of seedling taken on 11/16/24 on pg 31,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,74,Seedling,NA,AC,9.7,0,NA,NA,Dead - brown leaves; re-measurement of seedling taken on 11/16/24 on pg 31,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,75,Seedling,NA,AC,0,0,NA,NA,Dead - brown leaves,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,77,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,78,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,76,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,80,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,79,Seedling,NA,DT,0,0,NA,NA,Dead - missing,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,81,Seedling,NA,DT,5,0,NA,NA,Dead - brown leaves; re-measurement of seedling taken on 11/16/24 on pg 31,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,82,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,1,11/09/2024,4,83,Seedling,NA,DT,11.5,0,NA,NA,Dead - brown leaves; re-measurement of seedling taken on 11/16/24 on pg 31,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,2,11/09/2024,4,84,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,89,Seedling,NA,OA,12,8,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,90,Seedling,NA,OA,11,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,88,Seedling,NA,OA,3,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,87,Acorn,1,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,86,Acorn,1,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MB & JV,3,11/09/2024,4,85,Acorn,1,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,95,Seedling,NA,SA,0,0,NA,Yes,Dead,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,96,Seedling,NA,SA,10,0,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,94,Seedling,NA,SA,11,0,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,93,Acorn,1,SA,0,0,0,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,92,Acorn,1,SA,16,22,1,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KH & AV,4,11/09/2024,4,91,Acorn,1,SA,0,0,0,Yes,Salvia was huge!,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,115,Seedling,NA,AC,16.5,6,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,117,Seedling,NA,AC,0,0,NA,NA,Dead - brown leaves ,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,116,Seedling,NA,AC,17,0,NA,NA,Dead - brown leaves; re-measurement of seedling taken on 11/16/24 on pg 31,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,118,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,120,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,5,11/09/2024,5,119,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
