Page,Date,Block,Treatment,VWC1,PER1,VWC2,PER2,VWC3,PER3,Notes,Data Entered,QAQC
1,11/09/2024,4,AC ,0.8,1.095,0.0,1.047,0.5,1.087,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,4,DT,0.0,1.066,0.0,1.017,1.5,1.109,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,4,SA,0.3,1.082,0.0,1.047,0.0,1.047,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,4,OA,0.0,1.019,0.0,1.059,0.0,1.014,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,5,SA,0.0,1.073,0.0,1.025,0.0,1.069,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,5,DT,0.0,1.024,0.0,1.039,0.0,1.038,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,5,OA,0.0,1.061,0.3,1.083,0.0,1.067,,Kenzie Boglin,Matthew Bohn-Montes
1,11/09/2024,5,AC ,0.0,1.033,1.6,1.112,0.0,1.049,,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,DT,1.9,1.119,0.8,1.095,0.1,1.077,,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,NR,0.6,1.089,N/A,N/A,N/A,N/A,Tag 201,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,NR,0.0,1.07,N/A,N/A,N/A,N/A,Tag 200,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,OA,0.0,1.049,0.7,1.092,0.0,1.049,,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,NR,0.0,1.052,N/A,N/A,N/A,N/A,Tag 199,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,AC ,0.0,1.057,0.0,1.072,0.0,1.066,,Kenzie Boglin,Matthew Bohn-Montes
2,11/09/2024,6,SA,0.0,1.064,0.0,1.058,0.0,1.025,,Kenzie Boglin,Matthew Bohn-Montes
3,11/09/2024,7,AC ,1.8,1.118,0.0,1.053,0.7,1.012,,Kenzie Boglin,Matthew Bohn-Montes
3,11/09/2024,7,NR,0.3,1.055,N/A,N/A,N/A,N/A,Tag ?? -Took the mean of all three measurements on data sheet,Kenzie Boglin,Matthew Bohn-Montes
3,11/09/2024,7,OA,1.9,1.117,0.8,1.095,0.4,1.084,,Kenzie Boglin,Matthew Bohn-Montes
3,11/09/2024,7,DT,2.7,1.136,0.3,1.083,0.7,1.092,,Kenzie Boglin,Matthew Bohn-Montes
3,11/09/2024,7,SA,0.7,1.091,1.0,1.099,0.0,1.070,,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,SA,0,1.070,0.0,1.074,0.6,1.091,,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,AC ,1.1,1.102,0.0,1.076,0.4,1.084,,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,DT,0,1.064,0.0,1.062,0.2,1.079,,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,OA,0,1.060,0.0,1.013,0.0,1.033,,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,NR,0.0,1.069,N/A,N/A,N/A,N/A,Tag 207,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,NR,0.0,1.072,N/A,N/A,N/A,N/A,Tag 206,Kenzie Boglin,Matthew Bohn-Montes
4,11/09/2024,8,NR,0.3,1.082,N/A,N/A,N/A,N/A,Tag 205,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,SA,0.0,1.061,0.0,1.029,0.0,1.066,,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,DT,0.0,1.044,0.0,1.041,0.0,1.048,,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,OA,0.0,1.067,0.0,1.047,0.0,1.062,,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,AC ,0.0,1.067,1.9,1.119,0.5,1.087,,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,NR,0.0,1.034,N/A,N/A,N/A,N/A,Tag 195,Kenzie Boglin,Matthew Bohn-Montes
5,11/16/2024,1,NR,0.0,1.017,N/A,N/A,N/A,N/A,Tag 194 - no longer in the ground,Kenzie Boglin,Matthew Bohn-Montes
