Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC,,
KH ,1,4/12/2025,8,169,Seedling ,N/A,AC,0,0,N/A,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,170,Seedling ,N/A,AC,0,0,N/A,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,171,Seedling ,N/A,AC,0,0,N/A,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,172,Acorn,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,173,Acorn,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,174,Acorn,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
KH ,1,4/12/2025,8,207,NR,N/A,NR,24,103,N/A,N/A,,Kenzie Boglin,,,
KH ,2,4/12/2025,8,175,Seedling ,N/A,DT,0,0,N/A,N/A,Giant Bee Hive in DT,Kenzie Boglin,,,
KH ,2,4/12/2025,8,176,Acorn,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
KH ,2,4/12/2025,8,177,Seedling ,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
KH ,2,4/12/2025,8,178,Acorn,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
KH ,2,4/12/2025,8,179,Seedling ,N/A,DT,0,0,N/A,N/A,Nothing there,Kenzie Boglin,,,
KH ,2,4/12/2025,8,206,NR,N/A,NR,N/A,N/A,N/A,N/A,Bee hive blocking baskets ,Kenzie Boglin,,,
KH ,2,4/12/2025,8,182,Acorn,N/A,DT,N/A,N/A,N/A,N/A,Bee hive blocking baskets ,Kenzie Boglin,,,
KB,3,4/12/2025,8,180,Seedling ,N/A,OA,19.5,52,N/A,N/A,,Kenzie Boglin,,,
KB,3,4/12/2025,8,181,Seedling ,N/A,OA,0,0,N/A,N/A,Missing,Kenzie Boglin,,,
KB,3,4/12/2025,8,183,Seedling ,N/A,OA,0,0,N/A,N/A,,Kenzie Boglin,,,
KB,3,4/12/2025,8,184,Acorn,0,OA,0,0,0,N/A,,Kenzie Boglin,,,
KB,3,4/12/2025,8,185,Acorn,0,OA,0,0,0,N/A,,Kenzie Boglin,,,
KB,3,4/12/2025,8,186,Acorn,0,OA,0,0,0,N/A,,Kenzie Boglin,,,
KB,3,4/12/2025,8,205,NR,N/A,NR,0,0,N/A,N/A,,Kenzie Boglin,,,
