Page,Date,Block,Treatment,VWC1,PER1,VWC2,PER2,VWC3,PER3,Notes,Data Entered,QAQC
1,4/15/2025,8,SA,4.4,1.169,3.9,1.161,5.2,1.186,,Kenzie Boglin,
1,4/15/2025,8,OA,4.3,1.169,4.9,1.178,7.6,1.229,,Kenzie Boglin,
1,4/15/2025,8,AC,8.5,1.246,6.2,1.204,4.8,1.176,,Kenzie Boglin,
1,4/15/2025,8,DT,4.5,1.172,2.1,1.13,0.8,1.094,,Kenzie Boglin,
1,4/15/2025,8,NR,N/A,N/A,N/A,N/A,N/A,N/A,Tag 205; Dead,Kenzie Boglin,
1,4/15/2025,8,NR,N/A,N/A,N/A,N/A,N/A,N/A,Tag 206; Dead,Kenzie Boglin,
1,4/15/2025,8,NR,5.9,1.198,N/A,N/A,N/A,N/A,,Kenzie Boglin,
1,4/15/2025,7,NR,N/A,N/A,N/A,N/A,N/A,N/A,Tag 202; Dead,Kenzie Boglin,
1,4/15/2025,7,NR,11.9,1.301,N/A,N/A,N/A,N/A,,Kenzie Boglin,
1,4/15/2025,7,NR,4.7,1.177,N/A,N/A,N/A,N/A,,Kenzie Boglin,
1,4/15/2025,7,AC,9.3,1.258,4.4,1.169,6.6,1.211,,Kenzie Boglin,
1,4/15/2025,7,DT,9.9,1.267,14.9,1.348,8.2,1.238,,Kenzie Boglin,
1,4/15/2025,7,OA,6.9,1.217,8.6,1.247,3.2,1.144,,Kenzie Boglin,
1,4/15/2025,7,SA,3.6,1.155,5.7,1.197,3.5,1.156,,Kenzie Boglin,
1,4/15/2025,6,DT,7.3,1.227,4.4,1.169,8.1,1.234,,Kenzie Boglin,
1,4/15/2025,6,NR,5.2,1.183,N/A,N/A,N/A,N/A,Tag 200,Kenzie Boglin,
1,4/15/2025,6,NR,5.2,1.183,N/A,N/A,N/A,N/A,Tag 201,Kenzie Boglin,
1,4/15/2025,6,OA,0.8,1.094,3.1,1.143,2,1.121,,Kenzie Boglin,
1,4/15/2025,6,AC,6.2,1.207,3.5,1.151,7.6,1.227,"Written as DT, confirmed as AC",Kenzie Boglin,
1,4/15/2025,6,SA,1.8,1.114,2.2,1.123,3.7,1.155,,Kenzie Boglin,
1,4/15/2025,6,NR,3.9,1.158,N/A,N/A,N/A,N/A,Tag 199,Kenzie Boglin,
1,4/15/2025,5,SA,3.4,1.147,1.4,1.108,3.9,1.161,,Kenzie Boglin,
1,4/15/2025,5,DT,5.6,1.19,7.7,1.229,6,1.2,,Kenzie Boglin,
1,4/15/2025,5,OA,5.5,1.189,9.1,1.253,7.6,1.229,,Kenzie Boglin,
1,4/15/2025,5,AC,11.6,1.289,3.9,1.162,5.7,1.195,,Kenzie Boglin,
