Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC
KH & AA,1,1/25/2025,5,97,Seedling,NA,SA,21,15,NA,Yes,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,98,Seedling,NA,SA,8,0,NA,Missing,Dead,Kenzie Boglin,
KH & AA,1,1/25/2025,5,99,Seedling,NA,SA,0,0,NA,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,100,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,101,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,102,Acorn ,1,SA,4,7,2,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,102,Acorn ,2,SA,5,8,2,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,103,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,104,Seedling,NA,DT,18,0,NA,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,105,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,106,Seedling,NA,DT,14,22,NA,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,107,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,108,Acorn ,NA,DT,17,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,109,Acorn ,0,OA,12.4,17,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,110,Acorn ,1,OA,10.5,15,1,NA,Labeled acorn on tag but seedling on the list?,Kenzie Boglin,
,2,1/25/2025,5,111,Acorn ,1,OA,7.5,6,2,NA,A2 - Dead (4 cm),Kenzie Boglin,
KB & AV,2,1/25/2025,5,111,Acorn ,2,OA,4,0,2,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,112,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,113,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,114,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,115,Seedling,NA,AC,16,6,NA,NA,Holding on for dear life,Kenzie Boglin,
KB & AV,2,1/25/2025,5,116,Seedling,NA,AC,4.5,0,NA,NA,Dead,Kenzie Boglin,
KB & AV,2,1/25/2025,5,117,Seedling,NA,AC,6,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,118,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,119,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,120,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,121,Seedling,NA,DT,12.5,0,NA,NA,Dead,Kenzie Boglin,
