Page,Date,Block,Treatment,VWC1,PER1,VWC2,PER2,VWC3,PER3,Notes,Data Entered,QAQC
1,1/25/2025,5,SA,0.3,1.081,0.0,1.055,0.0,1.049,,Kenzie Boglin,
1,1/25/2025,5,DT,0.0,1.069,0.5,1.085,0.0,1.064,,Kenzie Boglin,
1,1/25/2025,5,OA,1.0,1.097,0.2,0.178,0.0,1.067,,Kenzie Boglin,
1,1/25/2025,5,AC,0.0,1.059,0.0,1.048,0.0,1.029,,Kenzie Boglin,
2,1/25/2025,6,DT,0.3,1.081,0.0,1.021,0.0,1.056,,Kenzie Boglin,
2,1/25/2025,6,NR,0.0,1.055,N/A,N/A,N/A,N/A,Tag 201,Kenzie Boglin,
2,1/25/2025,6,NR,0.0,1.072,N/A,N/A,N/A,N/A,Tag 200,Kenzie Boglin,
2,1/25/2025,6,OA,0.0,1.009,0.0,1.068,0.0,1.029,,Kenzie Boglin,
2,1/25/2025,6,AC,0.0,1.043,0.0,1.062,0.0,1.056,,Kenzie Boglin,
2,1/25/2025,6,NR,0.0,1.029,N/A,N/A,N/A,N/A,Tag 199,Kenzie Boglin,
2,1/25/2025,6,SA,0.0,1.014,0.0,1.029,0.0,1.042,,Kenzie Boglin,
2,1/25/2025,7,SA,1.1,1.099,0.0,1.058,0.0,1.072,,Kenzie Boglin,
2,1/25/2025,7,AC,0.0,1.072,0.0,1.064,0.0,1.029,,Kenzie Boglin,
2,1/25/2025,7,OA,0.6,1.087,0.9,1.096,0.9,1.094,,Kenzie Boglin,
2,1/25/2025,7,DT,0.7,1.091,0.5,1.086,0.0,1.066,,Kenzie Boglin,
2,1/25/2025,7,NR,0.0,1.012,N/A,N/A,N/A,N/A,Tag 203 ,Kenzie Boglin,
2,1/25/2025,7,NR,0.0,1.07,N/A,N/A,N/A,N/A,Tag 204,Kenzie Boglin,
2,1/25/2025,7,NR,0.3,1.082,N/A,N/A,N/A,N/A,Tag 202,Kenzie Boglin,
2,1/25/2025,8,SA,0.1,1.076,0.2,1.079,0.0,1.065,,Kenzie Boglin,
2,1/25/2025,8,NR,0.0,1.062,N/A,N/A,N/A,N/A,Tag 205,Kenzie Boglin,
2,1/25/2025,8,AC,0.0,1.053,0.0,1.066,0.0,1.065,,Kenzie Boglin,
2,1/25/2025,8,DT,0.0,1.045,0.0,1.065,0.0,1.061,,Kenzie Boglin,
2,1/25/2025,8,NR,0.0,1.052,N/A,N/A,N/A,N/A,Tag 207,Kenzie Boglin,
2,1/25/2025,8,OA,0.0,1.039,0.0,1.055,0.0,1.033,,Kenzie Boglin,
2,1/25/2025,8,NR,0.0,1.013,N/A,N/A,N/A,N/A,Tag 206,Kenzie Boglin,
3,2/6/2025,1,SA,9.6,1.267,4.9,1.188,13.0,1.322,,Kenzie Boglin,
3,2/6/2025,1,OA,10.4,1.281,11.5,1.301,5.7,1.202,,Kenzie Boglin,
3,2/6/2025,1,AC,8.0,1.241,8.5,1.247,6.7,1.216,,Kenzie Boglin,
3,2/6/2025,1,DT,7.2,1.227,3.2,1.153,6.4,1.214,,Kenzie Boglin,
3,2/6/2025,1,NR,NA,NA,NA,NA,NA,NA,Not found,Kenzie Boglin,
3,2/6/2025,1,NR,1.3,1.105,NA,NA,NA,NA,Nothing there,Kenzie Boglin,
3,2/6/2025,1,NR,NA,NA,NA,NA,NA,NA,Not Found,Kenzie Boglin,
4,2/6/2025,2,SA,8.0,1.238,3.8,1.158,4.2,1.169,,Kenzie Boglin,
4,2/6/2025,2,OA,6.8,1.217,7.3,1.226,6.8,1.218,,Kenzie Boglin,
4,2/6/2025,2,AC,2.0,1.123,4.3,1.169,5.1,1.188,,Kenzie Boglin,
4,2/6/2025,2,DT,6.1,1.207,8.8,1.264,4.3,1.169,,Kenzie Boglin,
5,2/6/2025,3,SA,8.6,1.247,1.7,1.122,4.8,1.179,,Kenzie Boglin,
5,2/6/2025,3,OA,5.2,1.190,8.4,1.244,12.6,1.313,,Kenzie Boglin,
5,2/6/2025,3,AC,13.6,1.328,6.8,1.217,5.6,1.195,,Kenzie Boglin,
5,2/6/2025,3,DT,7.3,1.227,15.6,1.359,5.6,1.191,,Kenzie Boglin,
5,2/6/2025,3,NR,9.6,1.262,NA,NA,NA,NA,,Kenzie Boglin,
5,2/6/2025,3,NR,6.3,1.206,NA,NA,NA,NA,,Kenzie Boglin,
5,2/6/2025,3,NR,NA,NA,NA,NA,NA,NA,Missing,Kenzie Boglin,
6,2/6/2025,4,SA,7.4,1.229,8.0,1.241,13.1,1.321,,Kenzie Boglin,
6,2/6/2025,4,OA,4.5,1.176,7.5,1.229,13.5,1.327,,Kenzie Boglin,
6,2/6/2025,4,AC,7.9,1.238,7.2,1.227,4.9,1.182,,Kenzie Boglin,
6,2/6/2025,4,DT,8.3,1.244,2.5,1.135,12.1,1.304,,Kenzie Boglin,
