Page Number,Year Collected,Date Processed,Team,Bag ID,Jar Number,Total Sample Weight,Bag Weight,Organic Material,Rock Weight,Wet Soil Weight,Dry Soil Weight,Dry Coarse Sand Weight,% sand by weight,Initial Volume,Final Volume,Rock Volume,Soil Water Content,Soil Bulk Density,Volumteric Water Content,Soil Water-filled Pore Space,Soil Porosity,Soil Volume,Notes,
1,2025,4/15/25,MBM,5SA,5SA,180.08,4.55,0,8.02,167.51,167.34,100.18,59.86614079,122,126,4,0.001015895781,1.254328761,0.001274267296,0.241948694,0.5266683921,133.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,5OA,5OA,154.06,1.2,0.12,7.85,144.89,142.85,79.41,55.58977949,96,98,2,0.01428071404,1.054944243,0.01506535706,2.502934211,0.6019078327,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,5DT,5DT,112.68,2.3,0.29,5.98,104.11,105.15,60.55,57.58440323,104,107,3,-0.00989063243,0.782307864,-0.00773751953,-1.097848321,0.7047894853,134.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,5AC,5AC,147.07,2.21,0.35,2.88,141.63,141.44,86.52,61.17081448,100,102,2,0.001343325792,1.044531423,0.001403146001,0.2316044647,0.6058371988,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,6OA,6OA,148.23,2.16,0.08,6.21,139.78,138.52,65.65,47.39387814,98,100,2,0.009096159399,1.022967285,0.009305073481,1.515546952,0.6139746096,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,6DT,6DT,158.51,2.28,0.14,0.26,155.83,159.95,76.94,48.10253204,0,0,0,-0.02575804939,1.164034641,-0.02998326177,-5.347072407,0.560741645,137.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,6SA,6SA,161.43,2.32,0.04,39.5,119.57,117.16,81.77,69.79344486,118,121,3,0.02057016046,0.8716613347,0.01793021353,2.671879478,0.6710711944,134.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,6AC,6AC,128.6,5.08,0.38,5.52,117.62,119.1,51.55,43.2829555,108,112,4,-0.01242653233,0.8927366764,-0.01109362117,-1.672947685,0.6631182353,133.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,7DT,7DT,178.52,2.31,0.01,3.75,172.45,166.93,56.5,33.84652249,126,128,2,0.03306775295,1.232774537,0.04076508382,7.62246198,0.5348020617,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,7AC,7AC,152.84,2.36,0.59,2.83,147.06,147.62,73.56,49.83064625,116,118,2,-0.003793523913,1.090170593,-0.004135588214,-0.7025966248,0.5886148706,135.41,,Matthew Bohn-Montes
