Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Treatment,Seedling Height,# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes
MG,1,4/22/24,1,24,Acorn,AC,NA,NA,0,NA,
MG,1,4/22/24,1,23,Acorn,AC,NA,NA,0,NA,
MG,1,4/22/24,1,22,Acorn,AC,NA,NA,0,NA,
MG,1,4/22/24,1,21,Seedling,AC,7,10,NA,NA,
MG,1,4/22/24,1,19,Seedling,AC,8,20,NA,NA,
LL,1,4/22/24,1,20,Seedling,AC,10,16,NA,NA,
LL,1,4/22/24,1,13,Acorn,SA,NA,NA,0,Missing,
LL,1,4/22/24,1,14,Acorn,SA,NA,NA,1,Missing,
LL,1,4/22/24,1,15,Acorn,SA,NA,NA,0,Missing,
LL,1,4/22/24,1,17,Seedling,SA,7.5,6,NA,Missing,
LL,1,4/22/24,1,18,Seedling,SA,11,10,NA,Missing,
LL,2,4/22/24,1,16,Seedling,SA,11.5,26,NA,Missing,
LL,2,4/22/24,1,12,Acorn,OA,NA,NA,0,NA,
LL,2,4/22/24,1,11,Acorn,OA,NA,NA,1,NA,
LL,2,4/22/24,1,10,Acorn,OA,NA,NA,0,NA,
LL,2,4/22/24,1,7,Seedling,OA,12.5,16,NA,NA,
LL,2,4/22/24,1,8,Seedling,OA,10.5,13,NA,NA,
LL,2,4/22/24,1,9,Seedling,OA,6,5,NA,NA,
LL,2,4/22/24,1,5,Acorn,DT,NA,NA,0,NA,
LL,2,4/22/24,1,6,Seedling,DT,14,12,NA,NA,
LL,2,4/22/24,1,4,Acorn,DT,NA,NA,1,NA,
LL,2,4/22/24,1,3,Seedling,DT,1.5,5,NA,NA,
LL,2,4/22/24,1,2,Acorn,DT,NA,NA,0,NA,
LL,2,4/22/24,1,1,Seedling,DT,15,14,NA,NA,
LL,3,4/22/24,3,30,Seedling,OA,7.5,8,NA,NA,
LL,3,4/22/24,3,28,Seedling,OA,6,6,NA,NA,
LL,3,4/22/24,3,29,Seedling,OA,10,8,NA,NA,
LL,3,4/22/24,3,27,Acorn,OA,NA,NA,1,NA,
LL,3,4/22/24,3,26,Acorn,OA,NA,NA,0,NA,
LL,3,4/22/24,3,25,Acorn,OA,NA,NA,2,NA,
LL,3,4/22/24,3,35,Seedling,AC,6,4,NA,NA,
LL,3,4/22/24,3,36,Seedling,AC,3,1,NA,NA,
LL,3,4/22/24,3,34,Seedling,AC,7,7,NA,NA,
LL,3,4/22/24,3,33,Acorn,AC,NA,NA,0,NA,
LL,3,4/22/24,3,31,Acorn,AC,NA,NA,0,NA,
LL,3,4/22/24,3,32,Acorn,AC,NA,NA,0,NA,
LL,4,4/22/24,3,43,Acorn,SA,NA,NA,1,Yes,
LL,4,4/22/24,3,44,Acorn,SA,NA,NA,2,Yes,
LL,4,4/22/24,3,46,Seedling,SA,4,2,NA,Yes,"not looking good, lots of brown"
LL,4,4/22/24,3,45,Acorn,SA,NA,NA,1,Yes,
LL,4,4/22/24,3,48,Seedling,SA,13,5,NA,Yes,salvia barely alive
LL,4,4/22/24,3,47,Seedling,SA,4,6,NA,Yes,
LL,4,4/22/24,3,37,Seedling,DT,11,7,NA,NA,
LL,4,4/22/24,3,38,Acorn,DT,NA,NA,0,NA,
LL,4,4/22/24,3,39,Seedling,DT,4,5,NA,NA,
LL,4,4/22/24,3,42,Acorn,DT,NA,NA,0,NA,
LL,4,4/22/24,3,41,Seedling,DT,3,10,NA,NA,
LL,4,4/22/24,3,40,Acorn,DT,NA,NA,0,NA,
LL,5,4/22/24,2,72,Seedling,AC,9,7,NA,NA,
LL,5,4/22/24,2,71,Seedling,AC,12,8,NA,NA,
LL,5,4/22/24,2,68,Acorn,AC,NA,NA,0,NA,
LL,5,4/22/24,2,69,Acorn,AC,NA,NA,0,NA,
LL,5,4/22/24,2,67,Acorn,AC,NA,NA,0,NA,
LL,5,4/22/24,2,70,Seedling,AC,6.5,4,NA,NA,
LL,7,4/22/24,2,50,Acorn,SA,NA,NA,0,Missing,
LL,7,4/22/24,2,49,Acorn,SA,NA,NA,0,Yes,
