Data Enterer Initials,Page Number,Team,Date,Block,Treatment,Measurement 1,,Measurement 2,,Measurement 3,
,,,,,,VWC1,PER1,VWC2,PER2,VWC3,PER3
NS,1,"HH, TL",6/7/24,1,AC,7.7,1.239,12.9,1.327,8.5,1.255
NS,1,"HH, TL",6/7/24,1,DT,7,1.226,3.1,1.148,10.8,1.293
NS,1,"HH, TL",6/7/24,1,OA,10.9,1.294,6.3,1.211,9.7,1.274
NS,1,"HH, TL",6/7/24,1,SA,4.5,1.178,5,1.19,6.3,1.212
NS,1,"HH, TL",6/7/24,1,NR-AC-193,2.9,1.147,4.7,1.182,5.9,1.204
NS,1,"HH, TL",6/7/24,1,NR-DT-194,14.7,1.355,16.6,1.385,14.9,1.359
NS,1,"HH, TL",6/7/24,1,NR-OA-195,2.9,1.142,6.1,1.207,4.3,1.173
NS,1,"HH, TL",6/7/24,3,DT,7.6,1.233,4.7,1.181,4.1,1.169
NS,1,"HH, TL",6/7/24,3,AC,6.3,1.208,13.4,1.331,10.9,1.291
NS,1,"HH, TL",6/7/24,3,OA,7.5,1.235,12.5,1.319,5.2,1.189
NS,1,"HH, TL",6/7/24,3,SA,3.2,1.148,2.9,1.143,5.1,1.189
NS,1,"HH, TL",6/7/24,3,NR-AC-198,6.4,1.212,8.2,1.243,9.2,1.262
NS,1,"HH, TL",6/7/24,3,NR-SA-197,7.9,1.235,8.3,1.248,7.5,1.231
NS,1,"HH, TL",6/7/24,3,NR-OA-196,3.3,1.152,5.2,1.188,0.4,1.087
NS,1,"HH, TL",6/7/24,2,OA,3.9,1.168,4.5,1.177,3.5,1.156
NS,1,"HH, TL",6/7/24,2,SA,2.1,1.123,2.6,1.137,4.6,1.181
NS,1,"HH, TL",6/7/24,2,AC,7.7,1.23,8.3,1.248,7.2,1.229
NS,1,"HH, TL",6/7/24,2,DT,6.5,1.216,11.1,1.298,8.4,1.251
NS,1,"HH, TL",6/7/24,4,SA,6.5,1.215,3.5,1.157,7.4,1.235
NS,1,"HH, TL",6/7/24,4,OA,3.7,1.159,6.2,1.208,4.7,1.181
NS,1,"HH, TL",6/7/24,4,DT,9.1,1.262,10.5,1.287,8.3,1.25
NS,1,"HH, TL",6/7/24,4,AC,11.7,1.308,11.1,1.296,9.9,1.278
NS,1,"HH, TL",6/7/24,5,SA,0.9,1.099,3.3,1.151,2.3,1.129
NS,1,"HH, TL",6/7/24,5,DT,3.5,1.155,4.7,1.18,7.4,1.231
NS,1,"HH, TL",6/7/24,5,OA,6.4,1.216,9.7,1.276,10.5,1.289
NS,1,"HH, TL",6/7/24,5,AC,12.5,1.318,6.8,1.219,8.2,1.246
NS,2,"HH, TL",6/7/24,6,SA,10.9,1.292,2.9,1.143,1.3,1.108
NS,2,"HH, TL",6/7/24,6,AC,6,1.206,6.8,1.223,6.8,1.221
NS,2,"HH, TL",6/7/24,6,OA,2.6,1.138,2.8,1.143,2.6,1.137
NS,2,"HH, TL",6/7/24,6,DT,6.1,1.205,2.7,1.136,2.7,1.14
NS,2,"HH, TL",6/7/24,6,NR-AC-199,2.9,1.143,6.1,1.209,5,1.187
NS,2,"HH, TL",6/7/24,6,NR-OA-200,3,1.146,5.9,1.206,4.3,1.173
NS,2,"HH, TL",6/7/24,6,NR-DT-201,9.1,1.26,8.9,1.257,12.4,1.313
NS,2,"HH, TL",6/7/24,7,AC,9.5,1.268,7.7,1.237,9.7,1.27
NS,2,"HH, TL",6/7/24,7,DT,10.3,1.284,11.9,1.311,8.1,1.246
NS,2,"HH, TL",6/7/24,7,OA,6.3,1.216,5.1,1.19,3.8,1.163
NS,2,"HH, TL",6/7/24,7,SA,6.5,1.222,2.3,1.131,2.1,1.128
NS,2,"HH, TL",6/7/24,7,NR-DT-202,4.6,1.178,5.1,1.189,5.8,1.202
NS,2,"HH, TL",6/7/24,7,NR-AC-203,8.5,1.255,7.3,1.234,11.9,1.311
NS,2,"HH, TL",6/7/24,7,NR-AC-204,5.6,1.198,2.6,1.136,6.5,1.216
NS,2,"HH, TL",6/7/24,8,AC,3,1.145,5.9,1.206,1.9,1.122
NS,2,"HH, TL",6/7/24,8,DT,2.8,1.142,5,1.188,6.8,1.222
NS,2,"HH, TL",6/7/24,8,OA,3.2,1.151,7.4,1.238,3.3,1.156
NS,2,"HH, TL",6/7/24,8,SA,7.2,1.232,8.6,1.257,5,1.194
NS,2,"HH, TL",6/7/24,8,NR-OA-205,3.5,1.158,2.3,1.134,5.4,1.195
NS,2,"HH, TL",6/7/24,8,NR-AC-207,2.2,1.13,0.5,1.091,4,1.169
NS,2,"HH, TL",6/7/24,8,NR-DT-206,15.2,1.363,10.4,1.285,14.2,1.347
